sentence,original annotation,claude annotation,literal example,"metaphorical to literal
appropriateness","original annotation
appropriateness",
What is the core of his argument?,CONTAINMENT,"CENTER-PERIPHERY, CONTAINMENT, OBJECT",What is the center of this circle?,,,
Our circle of friends is quite diverse.,CONTAINMENT,"CONTAINMENT, OBJECT, PART-WHOLE",Our group of people has varied characteristics.,,,
He's hasn't penetrated that group.,CONTAINMENT,"CONTAINMENT, FORCE, SOURCE_PATH_GOAL",The needle hasn't pierced the fabric.,,,
"I’ve sunk all my money into this business, so it had better succeed.",CONTAINMENT,"CONTAINMENT, SOURCE_PATH_GOAL, FORCE, SUBSTANCE","I've poured all my water into this container, so it had better not leak.",,,
The proposal borders on the absurd.,CONTAINMENT,"CONTACT, CONTAINMENT, SCALE",The property borders on the river.,,,
The limit must be drawn somewhere.,CONTAINMENT,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",The line must be drawn on the paper.,,,
They overstepped their authority.,CONTAINMENT,"SOURCE_PATH_GOAL, CONTAINMENT, FORCE, SCALE",They stepped over the boundary line.,,,
This goes beyond all bounds.,CONTAINMENT,"CONTAINMENT, SOURCE_PATH_GOAL, SCALE",The ball rolled past the fence line.,,,
You should keep within reasonable limits.,CONTAINMENT,"CONTAINMENT, SCALE, FORCE",The water should stay within the marked boundaries.,,,
He seems to have limited intelligence.,CONTAINMENT,"CONTAINMENT, SCALE, SUBSTANCE",The jar has a limited amount of water.,,,
They hedged her in to protect her.,CONTAINMENT,"CONTAINMENT, COVERING, FORCE, OBJECT",They built a fence around her to shield her.,,,
They were walled in by taboos.,CONTAINMENT,"CONTAINMENT, FORCE, OBJECT",They were enclosed by brick walls.,,,
His actions are beyond my control.,CONTAINMENT,"CONTAINMENT, SOURCE_PATH_GOAL, FORCE",The ball rolled beyond the fence.,,,
The whole situation spiraled out of (our) control.,CONTAINMENT,"SOURCE_PATH_GOAL, CONTAINMENT, FORCE, SCALE",The water spiraled out of the pipe.,,,
He returned to power.,CONTAINMENT,"SOURCE_PATH_GOAL, FORCE, VERTICALITY",He returned to his office.,,,
The president is in control of the executive branch.,CONTAINMENT,"CONTAINMENT, FORCE, CENTER-PERIPHERY",The driver is in control of the steering wheel.,,,
President Mubarak has stepped down from power.,CONTAINMENT,"VERTICALITY, SOURCE_PATH_GOAL, FORCE",The man has stepped down from the ladder.,,,
The restrictive regulations are holding back innovation.,CONTAINMENT,"FORCE, CONTAINMENT, SOURCE_PATH_GOAL",The physical barrier is preventing the object from moving forward.,,,
Any greater government regulation will only handcuff the industry and reduce the significant benefits hedge funds offer to the markets.,CONTAINMENT,"CONTAINMENT, FORCE, LINK, SCALE, OBJECT",Any stricter rules will restrict the industry's actions and decrease the positive effects hedge funds provide to the financial system.,,,
This group contains twenty members.,CONTAINMENT,"CONTAINMENT, OBJECT, PART-WHOLE",This box contains twenty items.,,,
There are twenty members in this group.,CONTAINMENT,"CONTAINMENT, PART-WHOLE",There are twenty marbles in this jar.,,,
Our circle of friends is quite diverse.,CONTAINMENT,"CONTAINMENT, OBJECT, PART-WHOLE",Our group of people has varied characteristics.,,,
He's hasn't penetrated that group.,CONTAINMENT,"CONTAINMENT, FORCE, SOURCE_PATH_GOAL",The needle hasn't pierced the fabric.,,,
Our nation contains some of the best entrepreneurs in the world.,CONTAINMENT,"CONTAINMENT, SCALE, PART-WHOLE",The box contains some of the largest marbles in the collection.,,,
The western world is drowning in an ocean of debt unlike anything the world has ever seen before,CONTAINMENT,"CONTAINMENT, SUBSTANCE, FORCE, SCALE",The swimmer is submerged in a large body of water deeper than any previously encountered,,,
"Law enforcement officers have often described these arrests as a way of reining in criminals whose other, more serious activities present a danger to the public.",CONTAINMENT,"CONTAINMENT, FORCE, LINK, SOURCE_PATH_GOAL",The horse trainer uses reins to control the horse's movement and direction.,,,
she held out her mind like a saucepan,CONTAINMENT,"CONTAINMENT, OBJECT, SUPPORT, FORCE",She held out a saucepan with her hands,,,
He has a pain in his shoulder.,CONTAINMENT,"CONTAINMENT, OBJECT, PART-WHOLE",He has a stone in his pocket.,,,
Don’t give me the flu.,CONTAINMENT,"OBJECT, TRANSFER, SOURCE_PATH_GOAL, FORCE",Don't hand me that book.,,,
My cold has gone from my head to my chest.,CONTAINMENT,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",The water has flowed from the upper pipe to the lower pipe.,,,
His pains went away.,CONTAINMENT,"SOURCE_PATH_GOAL, OBJECT, FORCE",The car drove away from the parking lot.,,,
His depression returned.,CONTAINMENT,"SOURCE_PATH_GOAL, FORCE, OBJECT",The bird returned to its nest.,,,
Hot tea and honey will get rid of your cough.,CONTAINMENT,"CONTAINMENT, FORCE, SUBSTANCE, SOURCE_PATH_GOAL",The medicine will remove the bacteria from your body.,,,
He could barely contain his joy.,CONTAINMENT,"CONTAINMENT, FORCE, SUBSTANCE",The bottle could barely contain the liquid.,,,
The smile left his face.,CONTAINMENT,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",The person walked out of the room.,,,
"Wipe that sneer off your face, private!",CONTAINMENT,"COVERING, CONTACT, SOURCE_PATH_GOAL, FORCE","Wipe that dirt off your shirt, soldier!",,,
His fears keep coming back.,CONTAINMENT,"SOURCE_PATH_GOAL, FORCE, CONTAINMENT",The ball keeps rolling back to its starting point.,,,
I’ve got to shake off this depresseion – it keeps hanging on.,CONTAINMENT,"CONTACT, FORCE, OBJECT, LINK",I've got to remove this sticker – it keeps sticking to the surface.,,,
"If you’ve got a cold, drinking lots of tea will flush it out of your system.",CONTAINMENT,"CONTAINMENT, FORCE, SOURCE_PATH_GOAL, SUBSTANCE","If there's debris in a pipe, running water through it will push the debris out of the pipe.",,,
There isn’t a trace of cowardice in him.,CONTAINMENT,"CONTAINMENT, SUBSTANCE, SCALE",There isn't a drop of water in the glass.,,,
He hasn’t got an honest bone in his body.,CONTAINMENT,"CONTAINMENT, PART-WHOLE, SUBSTANCE",The skeleton doesn't contain any bones in the body.,,,
She is boiling with anger.,CONTAINMENT,"CONTAINMENT, SUBSTANCE, FORCE, SCALE",The water is boiling in the pot.,,,
boiling anger,CONTAINMENT,"SUBSTANCE, CONTAINMENT, SCALE, FORCE",The water is boiling in the pot.,,,
simmering anger,CONTAINMENT,"CONTAINMENT, SUBSTANCE, FORCE, SCALE",The soup is simmering in the pot.,,,
anger boiling up inside of him,CONTAINMENT,"CONTAINMENT, SUBSTANCE, VERTICALITY, FORCE",Water boiling up inside a pot,,,
anger simmering inside of her,CONTAINMENT,"CONTAINMENT, SUBSTANCE, FORCE",Water simmering inside a pot,,,
anger simmer beneath surface,CONTAINMENT,"CONTAINMENT, VERTICALITY, SUBSTANCE, FORCE",Water simmers beneath the pot lid,,,
anger boil over (into action),CONTAINMENT,"CONTAINMENT, FORCE, SOURCE_PATH_GOAL, SUBSTANCE",The water boiled over from the pot onto the stove.,,,
anger reach boiling point,CONTAINMENT,"SCALE, SUBSTANCE, VERTICALITY, FORCE",The water reached its boiling point.,,,
She boils with anger,CONTAINMENT,"CONTAINMENT, SUBSTANCE, FORCE, SCALE",The water boils in the pot,,,
He seethes with anger,CONTAINMENT,"CONTAINMENT, SUBSTANCE, FORCE",The pot boils with water,,,
He kept a lid on anger,CONTAINMENT,"CONTAINMENT, COVERING, FORCE",He kept a lid on the pot,,,
She vented her anger against him,CONTAINMENT,"FORCE, CONTAINMENT, SOURCE_PATH_GOAL",She released the steam from the pressure cooker,,,
He give vent to his anger,CONTAINMENT,"CONTAINMENT, FORCE, SOURCE_PATH_GOAL",He released steam from a pressure cooker,,,
seething of anger,CONTAINMENT,"CONTAINMENT, SUBSTANCE, FORCE",The pot is seething with boiling water.,,,
You make my blood boil.,CONTAINMENT,"CONTAINMENT, FORCE, SUBSTANCE, SCALE",You make the water in the pot boil.,,,
I had reached the boiling point.,CONTAINMENT,"SCALE, SOURCE_PATH_GOAL, SUBSTANCE",The water had reached 100 degrees Celsius.,,,
a lunatic courage welling within him,CONTAINMENT,"CONTAINMENT, SUBSTANCE, FORCE, VERTICALITY",Water is welling up within the spring.,,,
she was filled with anger,CONTAINMENT,"CONTAINMENT, SUBSTANCE, SCALE",The bottle was filled with water.,,,
he was full of anger,CONTAINMENT,"CONTAINMENT, SUBSTANCE",The bottle was full of water,,,
he contained his anger,CONTAINMENT,"CONTAINMENT, FORCE, SUBSTANCE",He kept the liquid inside the bottle,,,
held-in anger,CONTAINMENT,"CONTAINMENT, FORCE, OBJECT",The water is held in the dam.,,,
pent-up anger,CONTAINMENT,"CONTAINMENT, FORCE, SUBSTANCE",The water is contained in the dam.,,,
She was unable to contain her anger.,CONTAINMENT,"CONTAINMENT, FORCE, SUBSTANCE",She was unable to contain the water in the bucket.,,,
Build up of anger,CONTAINMENT,"SCALE, SUBSTANCE, CONTAINMENT, VERTICALITY",Build up of bricks,,,
anger build up inside of them,CONTAINMENT,"CONTAINMENT, SUBSTANCE, SCALE, FORCE",Water builds up inside the tank,,,
pentup anger,CONTAINMENT,"CONTAINMENT, FORCE, SUBSTANCE",The water is contained in the dam.,,,
explosive anger,CONTAINMENT,"FORCE, CONTAINMENT, SUBSTANCE",The bomb exploded with great force.,,,
volcanic anger,CONTAINMENT,"FORCE, SUBSTANCE, CONTAINMENT, SCALE",The volcano erupts with intense force.,,,
outlet for anger,CONTAINMENT,"CONTAINMENT, SOURCE_PATH_GOAL, FORCE",The pipe is an outlet for water.,,,
burst of anger,CONTAINMENT,"CONTAINMENT, FORCE, SUBSTANCE",burst of water,,,
explosion of anger,CONTAINMENT,"FORCE, CONTAINMENT, SUBSTANCE, SPLITTING",explosion of dynamite,,,
outburst of anger,CONTAINMENT,"CONTAINMENT, FORCE, SUBSTANCE",burst of water,,,
anger have volcanic eruptions,CONTAINMENT,"FORCE, CONTAINMENT, SUBSTANCE, VERTICALITY",Volcanoes have explosive eruptions,,,
anger blows up into action,CONTAINMENT,"FORCE, SOURCE_PATH_GOAL, CONTAINMENT, SUBSTANCE",The balloon expands into a larger size,,,
anger burst out into action,CONTAINMENT,"CONTAINMENT, FORCE, SOURCE_PATH_GOAL",The water burst out of the pipe.,,,
anger erupts into action,CONTAINMENT,"CONTAINMENT, FORCE, SOURCE_PATH_GOAL",The volcano erupts into lava,,,
anger explode into action,CONTAINMENT,"CONTAINMENT, FORCE, SOURCE_PATH_GOAL, SUBSTANCE",The bomb exploded into fragments.,,,
They erupt with anger,CONTAINMENT,"FORCE, CONTAINMENT, SOURCE_PATH_GOAL, SUBSTANCE",The volcano erupts with lava,,,
She bursts out with anger,CONTAINMENT,"CONTAINMENT, FORCE, SOURCE_PATH_GOAL, SUBSTANCE",The balloon bursts out with air,,,
The sight filled her with fear.,CONTAINMENT,"CONTAINMENT, SUBSTANCE, FORCE",The glass filled with water.,,,
fear permeate them,CONTAINMENT,"SUBSTANCE, CONTAINMENT, FORCE",Water permeates the sponge,,,
fear well up inside,CONTAINMENT,"CONTAINMENT, SUBSTANCE, VERTICALITY, FORCE",Water wells up inside a container,,,
Sara’s heart becomes filled with fear,CONTAINMENT,"CONTAINMENT, SUBSTANCE, OBJECT",The glass becomes filled with water,,,
John is full of fear,CONTAINMENT,"CONTAINMENT, SUBSTANCE",The bottle is full of water,,,
Mary contains fear,CONTAINMENT,"CONTAINMENT, SUBSTANCE",The jar contains water,,,
This truly fills them with fear.,CONTAINMENT,"CONTAINMENT, SUBSTANCE, FORCE",The glass is filled with water.,,,
This situation really puts fear in them.,CONTAINMENT,"CONTAINMENT, FORCE, OBJECT, SUBSTANCE",This box really puts water in the container.,,,
fear filled him,CONTAINMENT,"CONTAINMENT, SUBSTANCE, OBJECT",Water filled the glass.,,,
fear pour out,CONTAINMENT,"SUBSTANCE, CONTAINMENT, SOURCE_PATH_GOAL",Water pours out of the bottle.,,,
pent up fear,CONTAINMENT,"CONTAINMENT, FORCE, SUBSTANCE",The water is pent up behind the dam.,,,
He was overflowing with joy,CONTAINMENT,"CONTAINMENT, SUBSTANCE, SCALE, FORCE",The bathtub was overflowing with water.,,,
heart swell with joy,CONTAINMENT,"CONTAINMENT, SUBSTANCE, SCALE, FORCE",The balloon swells with air.,,,
It swelled his heart with joy,CONTAINMENT,"CONTAINMENT, SUBSTANCE, SCALE, FORCE",The balloon swelled with air,,,
Joy pour into heart,CONTAINMENT,"CONTAINMENT, SOURCE_PATH_GOAL, SUBSTANCE",Water pours into a container,,,
She brims over with joy,CONTAINMENT,"CONTAINMENT, SUBSTANCE, FORCE, SCALE",The cup brims over with water,,,
joy seeps from her,CONTAINMENT,"SUBSTANCE, SOURCE_PATH_GOAL, CONTAINMENT",Water seeps from the rock,,,
overflowing joy,CONTAINMENT,"CONTAINMENT, SUBSTANCE, FORCE, SCALE",The water is overflowing from the cup.,,,
inner joy,CONTAINMENT,"CONTAINMENT, SUBSTANCE",The box contains a toy.,,,
He is filled with joy.,CONTAINMENT,"CONTAINMENT, SUBSTANCE",The glass is filled with water.,,,
It contains joy,CONTAINMENT,"CONTAINMENT, SUBSTANCE",The box contains toys,,,
He filled her heart with joy,CONTAINMENT,"CONTAINMENT, SUBSTANCE, OBJECT",He filled the glass with water,,,
He left her empty of joy,CONTAINMENT,"CONTAINMENT, SUBSTANCE, SOURCE_PATH_GOAL",He emptied the container of water,,,
Anna’s heart filled with joy,CONTAINMENT,"CONTAINMENT, SUBSTANCE, SCALE",The glass filled with water,,,
explosion of joy,CONTAINMENT,"FORCE, CONTAINMENT, SUBSTANCE, SPLITTING",The balloon burst with air.,,,
Tom explodedt with joy,CONTAINMENT,"CONTAINMENT, FORCE, SPLITTING, SUBSTANCE",The balloon exploded with air pressure,,,
joy burst in their heart,CONTAINMENT,"CONTAINMENT, FORCE, SUBSTANCE",Water burst from the pipe,,,
joy burst through him,CONTAINMENT,"CONTAINMENT, FORCE, SOURCE_PATH_GOAL",Water burst through the pipe,,,
She erupt in joy,CONTAINMENT,"CONTAINMENT, FORCE, SOURCE_PATH_GOAL, SUBSTANCE",The volcano erupts with lava,,,
He's bursting with excitement.,CONTAINMENT,"CONTAINMENT, FORCE, SUBSTANCE",The balloon is bursting with air.,,,
That joke is side-splittingly funny.,CONTAINMENT,"SPLITTING, FORCE, OBJECT",That log is split in half by the axe.,,,
I am filled with sorrow.,CONTAINMENT,"CONTAINMENT, SUBSTANCE",The glass is filled with water.,,,
It included sadness,CONTAINMENT,"CONTAINMENT, PART-WHOLE",The box included a small object,,,
sadness filled his heart,CONTAINMENT,"CONTAINMENT, SUBSTANCE, OBJECT",Water filled the glass.,,,
Her eye filled with sadness,CONTAINMENT,"CONTAINMENT, SUBSTANCE, SCALE",The glass filled with water,,,
Her (heart/voice) was full of sadness,CONTAINMENT,"CONTAINMENT, SUBSTANCE, SCALE",The container was full of water,,,
filled up with sadness,CONTAINMENT,"CONTAINMENT, SUBSTANCE, SCALE",The bottle is filled up with water.,,,
be filled with sadness,CONTAINMENT,"CONTAINMENT, SUBSTANCE",The glass is filled with water.,,,
contain/hold sadness,CONTAINMENT,"CONTAINMENT, OBJECT, SUBSTANCE",The jar contains water.,,,
She filled him with sadness,CONTAINMENT,"CONTAINMENT, SUBSTANCE, FORCE",She filled the glass with water,,,
burst of sadness,CONTAINMENT,"CONTAINMENT, FORCE, SUBSTANCE",The balloon burst with air.,,,
He filled her with disgust,CONTAINMENT,"CONTAINMENT, SUBSTANCE, FORCE",He filled the glass with water,,,
disgust filled them,CONTAINMENT,"CONTAINMENT, SUBSTANCE, FORCE",Water filled the container,,,
They were full of disgust,CONTAINMENT,"CONTAINMENT, SUBSTANCE",The bottle was full of water,,,
His eyes were filled with disgust,CONTAINMENT,"CONTAINMENT, SUBSTANCE",The glass was filled with water,,,
outlet for disgust,CONTAINMENT,"CONTAINMENT, SOURCE_PATH_GOAL, FORCE",The pipe is an outlet for water.,,,
disgust build up among them,CONTAINMENT,"SUBSTANCE, SCALE, CONTAINMENT, FORCE",Water levels build up in the reservoir,,,
He burst with disgust,CONTAINMENT,"CONTAINMENT, FORCE, SUBSTANCE",The balloon burst with air pressure,,,
He doesn’t have it in him to be polite to his in-laws.,CONTAINMENT,"CONTAINMENT, SUBSTANCE, OBJECT",The box doesn't have the item inside it.,,,
He lacks internal/intestinal fortitude.,CONTAINMENT,"CONTAINMENT, SUBSTANCE, FORCE",The container lacks sufficient material inside.,,,
He has a great capacity for learning.,CONTAINMENT,"CONTAINMENT, SCALE, SUBSTANCE",The container has a large volume for holding liquid.,,,
There is both cotton and polyester in that shirt.,CONTAINMENT,"CONTAINMENT, SUBSTANCE, PART-WHOLE",There is both water and oil in that bottle.,,,
This drink is loaded with vitamins.,CONTAINMENT,"CONTAINMENT, SUBSTANCE, FORCE, SCALE",This truck is loaded with boxes.,,,
Our agenda is packed with events.,CONTAINMENT,"CONTAINMENT, SUBSTANCE, OBJECT",The bag is packed with clothes.,,,
There are seven days in a week.,CONTAINMENT,"CONTAINMENT, PART-WHOLE",There are seven apples in a basket.,,,
The detective couldn't get much information out of the partial shoe print.,CONTAINMENT,"CONTAINMENT, SOURCE_PATH_GOAL, PART-WHOLE",The scientist couldn't extract much data from the incomplete sample.,,,
Tree rings contain the story of the region.,CONTAINMENT,"CONTAINMENT, OBJECT, SUBSTANCE",Tree rings contain layers of wood growth.,,,
It was years before the fossils yielded any valuable information.,CONTAINMENT,"CONTAINMENT, SOURCE_PATH_GOAL, FORCE",It took time before the researchers extracted data from the rock samples.,,,
spill the beans,CONTAINMENT,"CONTAINMENT, SUBSTANCE, SOURCE_PATH_GOAL",The beans spilled out of the jar.,,,
let the cat out of the bag,CONTAINMENT,"CONTAINMENT, SOURCE_PATH_GOAL, OBJECT",The cat exited the bag.,,,
blow the whistle,CONTAINMENT,"FORCE, OBJECT, SOUND",The referee blows the whistle to signal a foul.,,,
blow the lid off,CONTAINMENT,"COVERING, FORCE, CONTAINMENT",The explosion blew the lid off the container.,,,
loose lips,CONTAINMENT,"CONTAINMENT, OBJECT, COVERING",The jar has a loose lid.,,,
"Just yeah, more in the movie than outside the movie.",CONTAINMENT,"CONTAINMENT, SCALE",There are more people inside the theater than outside the theater.,,,
"Yes, so you’re in the moment, just in the film, I know people talk about switching off and that but it’s more than that, you just become involved in that film and what’s happening.",CONTAINMENT,"CONTAINMENT, SOURCE_PATH_GOAL, FORCE, LINK","Yes, so you're physically inside the cinema, watching the film on the screen, I know people talk about turning off their phones but it's more than that, you just physically interact with the events happening on the screen.",,,
you’re just enveloped in the film so you’re in the moment.,CONTAINMENT,"CONTAINMENT, COVERING, SUBSTANCE",The swimmer is enveloped in water so they're immersed in the pool.,,,
you’re just enveloped in the film so you’re in the moment.,CONTAINMENT,"CONTAINMENT, COVERING, SUBSTANCE",The swimmer is enveloped in water so they're immersed in the pool.,,,
stir in the ingredients gradually until all of them has been used.,CONTAINMENT,"CONTAINMENT, FORCE, SUBSTANCE, PART-WHOLE, SOURCE_PATH_GOAL",Mix the components slowly until the entire mixture is combined.,,,
Heat the butter gently and then blend in a little flour.,CONTAINMENT,"SUBSTANCE, FORCE, CONTAINMENT, CONTACT",Mix the water slowly and then add in a small amount of salt.,,,
Badly decayed timber should be cut out and replaced.,CONTAINMENT,"PART-WHOLE, SPLITTING, SUBSTANCE, OBJECT",Damaged sections of wood should be removed and new pieces inserted.,,,
He carefully measured out a pint of whisky.,CONTAINMENT,"CONTAINMENT, SUBSTANCE, SCALE",He carefully poured water into a measuring cup.,,,
Slice the tops off the tomatoes and scoop out the seeds.,CONTAINMENT,"SPLITTING, CONTAINMENT, SOURCE_PATH_GOAL, OBJECT",Cut the upper parts of the tomatoes and remove the seeds from inside.,,,
He sorted out the white laundry from the colored.,CONTAINMENT,"SPLITTING, CONTAINMENT, OBJECT",He separated the white clothes from the colored clothes in the laundry basket.,,,
the new college building does not merge in with the old buildings around.,CONTAINMENT,"CONTAINMENT, PART-WHOLE, CONTACT, OBJECT",The new puzzle piece does not fit in with the surrounding pieces.,,,
Saturday and Sunday seemed to merge into each other.,CONTAINMENT,"LINK, CONTAINMENT, SUBSTANCE, PART-WHOLE",The two water droplets merged into one larger droplet.,,,
The teacher singled him out for particular praise.,CONTAINMENT,"SPLITTING, CENTER-PERIPHERY, FORCE",The teacher separated one student from the group for a specific reason.,,,
why do you cross out the last line of your letter?,CONTAINMENT,"COVERING, OBJECT, PART-WHOLE",Why do you draw a line over the final sentence on the paper?,,,
We must separate out facts from speculation.,CONTAINMENT,"SPLITTING, CONTAINMENT, SUBSTANCE",We must separate oil from water in the mixture.,,,
The skirt is too big. Please take it in.,CONTAINMENT,"CONTAINMENT, SCALE, FORCE",The fabric is too large. Please reduce its size.,,,
Part of the roof has caved in.,CONTAINMENT,"PART-WHOLE, CONTAINMENT, VERTICALITY, FORCE",A section of the ceiling has collapsed downward.,,,
Now the police were closing in.,CONTAINMENT,"SOURCE_PATH_GOAL, CONTAINMENT, FORCE",Now the walls were closing in on the room.,,,
I’ll bash your silly head in.,CONTAINMENT,"FORCE, CONTACT, CONTAINMENT",I'll hit the ball with the bat.,,,
The wind bellied out the sails.,CONTAINMENT,"FORCE, CONTAINMENT, OBJECT, SUBSTANCE",The air inflated the balloon.,,,
The road broadened out after this bend.,CONTAINMENT,"SOURCE_PATH_GOAL, SCALE, OBJECT",The river widened after the curve in its course.,,,
He stretched out in front of the fire and fell asleep.,CONTAINMENT,"SOURCE_PATH_GOAL, FORCE, VERTICALITY, CONTACT",He extended his body horizontally on the floor near the fireplace and became unconscious.,,,
The troops fanned out as they advanced.,CONTAINMENT,"SOURCE_PATH_GOAL, SPLITTING, FORCE",The water fanned out as it flowed downstream.,,,
The search party spread out over the moor.,CONTAINMENT,"SPLITTING, SOURCE_PATH_GOAL, COVERING",The water spread out over the floor.,,,
"I more or less caved in, though I still defended my explanations.",CONTAINMENT,"FORCE, CONTAINMENT, SUPPORT, VERTICALITY","The roof of the cave collapsed, though the walls remained standing.",,,
He has to give in.,CONTAINMENT,"FORCE, CONTAINMENT, SOURCE_PATH_GOAL",He has to enter the room.,,,
Those are the main points I’ll be talking about. Now I’ll flesh them out for you.,CONTAINMENT,"CENTER-PERIPHERY, PART-WHOLE, SUBSTANCE, CONTAINMENT",These are the key topics I'll discuss. Now I'll provide more details about each one.,,,
The wildfire of revolution rapidly spread throughout the land.,CONTAINMENT,"SOURCE_PATH_GOAL, SUBSTANCE, FORCE, COVERING",The forest fire rapidly spread across the landscape.,,,
Why don’t you join in and have some fun?,CONTAINMENT,"CONTAINMENT, LINK, FORCE, SUBSTANCE",Why don't you enter the room and play with the toys?,,,
The police were called in to investigate the robbery.,CONTAINMENT,"SOURCE_PATH_GOAL, CONTAINMENT, FORCE",The detectives entered the building to examine the crime scene.,,,
The company has decided to pull out of the project.,CONTAINMENT,"CONTAINMENT, SOURCE_PATH_GOAL, FORCE",The person has decided to remove the plug from the socket.,,,
He didn’t want to look as if he was chickening out.,CONTAINMENT,"SOURCE_PATH_GOAL, FORCE, CONTAINMENT",He didn't want to appear as if he was leaving the group.,,,
A deal is a deal. You can’t back out now.,CONTAINMENT,"CONTAINMENT, LINK, FORCE, SOURCE_PATH_GOAL",A contract is signed. You can't exit the room now.,,,
Such behavior might result in the executive being asked to leave.,CONTAINMENT,"SOURCE_PATH_GOAL, FORCE, CONTAINMENT",The ball's trajectory might result in it exiting the field.,,,
He believes in individual liberty.,CONTAINMENT,"CONTAINMENT, SUPPORT, OBJECT",He stands on solid ground.,,,
This room will be changed into a kitchen.,CONTAINMENT,"CONTAINMENT, SUBSTANCE, OBJECT, FORCE",This clay will be shaped into a bowl.,,,
I talked him into accepting the job.,CONTAINMENT,"CONTAINMENT, FORCE, SOURCE_PATH_GOAL",I pushed the ball into the box.,,,
The lamp gives out dim lights.,CONTAINMENT,"SOURCE_PATH_GOAL, FORCE, SUBSTANCE",The lamp emits low-intensity light.,,,
The bells rang out.,CONTAINMENT,"SOURCE_PATH_GOAL, FORCE, SUBSTANCE",The sound waves traveled from the bells.,,,
Each of the eggs hatches out into a tiny grub.,CONTAINMENT,"CONTAINMENT, SOURCE_PATH_GOAL, SPLITTING",Each of the boxes opens to reveal a small toy.,,,
I don’t go in for that sort of fishing.,CONTAINMENT,"CONTAINMENT, SOURCE_PATH_GOAL",I don't enter that area for fishing.,,,
Frank told himself not to be taken in by superficial appearances.,CONTAINMENT,"CONTAINMENT, FORCE, COVERING",Frank avoided entering a deceptive building.,,,
"I don’t like the book when I started it, but the strange story soon draw me in.",CONTAINMENT,"CONTAINMENT, SOURCE_PATH_GOAL, FORCE","I don't like the room when I entered it, but the interesting objects soon pulled me inside.",,,
I had no idea what I was going to write about when I started out.,CONTAINMENT,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",I had no items in my bag when I left the house.,,,
They succeeded in what they had set out to do.,CONTAINMENT,"SOURCE_PATH_GOAL, FORCE, OBJECT",They reached the destination they had planned to travel to.,,,
The woods have burnt out.,CONTAINMENT,"SUBSTANCE, CONTAINMENT, FORCE",The candle has burnt out.,,,
I spent three days cleaning our flat out.,CONTAINMENT,"CONTAINMENT, SOURCE_PATH_GOAL, SUBSTANCE, SCALE",I used three days to remove dirt from our apartment.,,,
Comprehensive schools assisted in flattening out all regional accents.,CONTAINMENT,"FORCE, SCALE, VERTICALITY, SUBSTANCE",The rolling pin flattened the dough on the countertop.,,,
Increased productivity and generous staffing could be said to cancel each other out.,CONTAINMENT,"FORCE, SCALE, OBJECT",The opposing forces of two magnets cancel each other out.,,,
I thought most of the problems were ironed out.,CONTAINMENT,"FORCE, COVERING, OBJECT",I smoothed out the wrinkles in the shirt with an iron.,,,
The lights went out.,CONTAINMENT,"SOURCE_PATH_GOAL, FORCE, CONTAINMENT",The person exited the room.,,,
We turned out the lights.,CONTAINMENT,"SOURCE_PATH_GOAL, FORCE, OBJECT",We switched off the lamps.,,,
They put/beat out the fire.,CONTAINMENT,"FORCE, CONTAINMENT, SOURCE_PATH_GOAL",They extinguished the flames with water.,,,
Someone opened the door and the candle blew out.,CONTAINMENT,"FORCE, CONTAINMENT, SOURCE_PATH_GOAL",Someone pushed the door and the wind extinguished the flame.,,,
The proposals were hedged in with legal niceties.,CONTAINMENT,"CONTAINMENT, COVERING, OBJECT",The garden was fenced in with wooden panels.,,,
You have to contract in if you want to participate in the scheme.,CONTAINMENT,"CONTAINMENT, SOURCE_PATH_GOAL, FORCE",You have to enter the room if you want to join the meeting.,,,
He felt hemmed in by convention.,CONTAINMENT,"CONTAINMENT, FORCE, COVERING",The fabric was hemmed in by stitches.,,,
He cannot hold in his anger.,CONTAINMENT,"CONTAINMENT, FORCE, SUBSTANCE",He cannot hold water in his hands.,,,
The war broke out.,CONTAINMENT,"CONTAINMENT, FORCE, SPLITTING",The water burst from the pipe.,,,
He burst out laughing.,CONTAINMENT,"CONTAINMENT, FORCE, SOURCE_PATH_GOAL","The balloon burst, releasing air.",,,
Thicker fabrics and darker colors came in.,CONTAINMENT,"SOURCE_PATH_GOAL, CONTAINMENT, SUBSTANCE, SCALE",The delivery truck arrived with new materials.,,,
Labor governments come in promising to expand public expenditure.,CONTAINMENT,"SOURCE_PATH_GOAL, CONTAINMENT, SCALE",New employees enter the office promising to increase their work hours.,,,
All the facts came out after Sherry’s death.,CONTAINMENT,"CONTAINMENT, SOURCE_PATH_GOAL, FORCE",All the items came out of the box after it was opened.,,,
His new book will come out next month.,CONTAINMENT,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",The package will be delivered next month.,,,
She became trapped as the tide came in.,CONTAINMENT,"CONTAINMENT, FORCE, SOURCE_PATH_GOAL",The fish became trapped in the net as it was pulled in.,,,
The tide has gone out.,CONTAINMENT,"SOURCE_PATH_GOAL, VERTICALITY, SUBSTANCE",The water level has decreased at the shore.,,,
